Species,Family,Order,Class,temp,mass,replicate,ref,,,
Acanthocyclops vernalis ,Cyclopidae,Cyclopoida,Maxillopoda,5,0.030566,AP85A,Abdullahi & Parry (1985) ,,,
Acanthocyclops vernalis ,Cyclopidae,Cyclopoida,Maxillopoda,8,0.028755,AP85A,Abdullahi & Parry (1985) ,,,
Acanthocyclops vernalis ,Cyclopidae,Cyclopoida,Maxillopoda,10,0.025811,AP85A,Abdullahi & Parry (1985) ,,,
Acanthocyclops vernalis ,Cyclopidae,Cyclopoida,Maxillopoda,12,0.024453,AP85A,Abdullahi & Parry (1985) ,,,
Acanthocyclops vernalis ,Cyclopidae,Cyclopoida,Maxillopoda,15,0.023547,AP85A,Abdullahi & Parry (1985) ,,,
Acanthocyclops vernalis ,Cyclopidae,Cyclopoida,Maxillopoda,20,0.022642,AP85A,Abdullahi & Parry (1985) ,,,
Acanthocyclops viridus ,Cyclopidae,Cyclopoida,Maxillopoda,5,0.05366,AP85B,Abdullahi & Parry (1985) ,,,
Acanthocyclops viridus ,Cyclopidae,Cyclopoida,Maxillopoda,8,0.049811,AP85B,Abdullahi & Parry (1985) ,,,
Acanthocyclops viridus ,Cyclopidae,Cyclopoida,Maxillopoda,10,0.045962,AP85B,Abdullahi & Parry (1985) ,,,
Acanthocyclops viridus ,Cyclopidae,Cyclopoida,Maxillopoda,12,0.04234,AP85B,Abdullahi & Parry (1985) ,,,
Acanthocyclops viridus ,Cyclopidae,Cyclopoida,Maxillopoda,15,0.041434,AP85B,Abdullahi & Parry (1985) ,,,
Acanthocyclops viridus ,Cyclopidae,Cyclopoida,Maxillopoda,20,0.040755,AP85B,Abdullahi & Parry (1985) ,,,
Acartia tonsa ,Acartiidae,Calanoida,Maxillopoda,6,0.004498,H09A,Hansen et al.(2009) ,,,
Acartia tonsa ,Acartiidae,Calanoida,Maxillopoda,9,0.004592,H09A,Hansen et al.(2009) ,,,
Acartia tonsa ,Acartiidae,Calanoida,Maxillopoda,17,0.003647,H09A,Hansen et al.(2009) ,,,
Acartia tonsa ,Acartiidae,Calanoida,Maxillopoda,24,0.002749,H09A,Hansen et al.(2009) ,,,
