Species,Family,Order,Class,temp,mass,replicate,ref,,,
Acartia tonsa ,Acartiidae,Calanoida,Maxillopoda,10,0.00485,LTQ06A,Leandro Tiselius P & Queiroga H(2006) ,,,
Acartia tonsa ,Acartiidae,Calanoida,Maxillopoda,15,0.004608,LTQ06A,Leandro Tiselius P & Queiroga H(2006) ,,,
Acartia tonsa ,Acartiidae,Calanoida,Maxillopoda,18,0.003926,LTQ06A,Leandro Tiselius P & Queiroga H(2006) ,,,
Acartia tonsa ,Acartiidae,Calanoida,Maxillopoda,22,0.003314,LTQ06A,Leandro Tiselius P & Queiroga H(2006) ,,,
Acheta domesticus ,Gryllidae,Orthoptera,Insecta,25,61,BK86A,Booth & Kiddell(2007) ,,,
Acheta domesticus ,Gryllidae,Orthoptera,Insecta,28,48,BK86A,Booth & Kiddell(2007) ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,11.5,0.622,LM87A,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,14.9,0.565,LM87A,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,20.6,0.559,LM87A,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,24.5,0.486,LM87A,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,27.5,0.451,LM87A,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,11.5,0.559,LM87B,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,14.9,0.497,LM87B,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,20.6,0.5,LM87B,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,24.5,0.375,LM87B,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,27.5,0.246,LM87B,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,11.5,0.615,LM87C,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,14.9,0.565,LM87C,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,20.6,0.526,LM87C,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,24.5,0.491,LM87C,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,27.5,0.316,LM87C,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,11.5,0.598,LM87D,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,14.9,0.589,LM87D,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,20.6,0.516,LM87D,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,24.5,0.481,LM87D,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,27.5,0.317,LM87D,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,11.5,0.645,LM87E,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,14.9,0.577,LM87E,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,20.6,0.514,LM87E,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,24.5,0.492,LM87E,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,27.5,0.329,LM87E,Lamb & MacKay(1987),,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,10,1.98,ML88A, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,15,2.71,ML88A, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,20,3.07,ML88A, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,25,1.78,ML88A, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,28,1.68,ML88A, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,10,2.1,ML88B, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,15,2.7,ML88B, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,20,3.06,ML88B, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,25,2.31,ML88B, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,28,1.61,ML88B, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,10,2.09,ML88C, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,15,2.5,ML88C, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,20,3.06,ML88C, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,25,1.99,ML88C, MacKay & Lamb(1988)  ,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,28,1.65,ML88C, MacKay & Lamb(1988)  ,,,
Adalia bipunctata  ,Coccinellidae,Coleoptera,Insecta,19,13.16,JTD09A, Jalali Tirry & De Clercq(2009_  ,,,
Adalia bipunctata  ,Coccinellidae,Coleoptera,Insecta,23,13.35,JTD09A, Jalali Tirry & De Clercq(2009_  ,,,
Adalia bipunctata  ,Coccinellidae,Coleoptera,Insecta,27,11.76,JTD09A, Jalali Tirry & De Clercq(2009_  ,,,
Aedes aegypti  ,Culicidae,Diptera,Insecta,17,1.198,VDH63A, Van Den Heuvel(1963) ,,,
Aedes aegypti  ,Culicidae,Diptera,Insecta,18,1.157,VDH63A, Van Den Heuvel(1963) ,,,
Aedes aegypti  ,Culicidae,Diptera,Insecta,20,1.128,VDH63A, Van Den Heuvel(1963) ,,,
Aedes aegypti  ,Culicidae,Diptera,Insecta,22,1.011,VDH63A, Van Den Heuvel(1963) ,,,
Aedes aegypti  ,Culicidae,Diptera,Insecta,25,0.862,VDH63A, Van Den Heuvel(1963) ,,,
Aedes aegypti  ,Culicidae,Diptera,Insecta,26,0.794,VDH63A, Van Den Heuvel(1963) ,,,
Aedes aegypti  ,Culicidae,Diptera,Insecta,28,0.7,VDH63A, Van Den Heuvel(1963) ,,,
Aedes aegypti  ,Culicidae,Diptera,Insecta,30,0.655,VDH63A, Van Den Heuvel(1963) ,,,
Aedes aegypti  ,Culicidae,Diptera,Insecta,32,0.551,VDH63A, Van Den Heuvel(1963) ,,,
Aedes aegypti  ,Culicidae,Diptera,Insecta,34,0.34,VDH63A, Van Den Heuvel(1963) ,,,
Aedes dorsalis  ,Culicidae,Diptera,Insecta,21,6.5233,P82A, Parker(1982)  ,,,
Aedes dorsalis  ,Culicidae,Diptera,Insecta,25,6.0569,P82A, Parker(1982)  ,,,
Aedes dorsalis  ,Culicidae,Diptera,Insecta,30,3.5819,P82A, Parker(1982)  ,,,
Aedes nigromaculis,Culicidae,Diptera,Insecta,21,15.98068182,B67Z,Brust(1967),,,
Aedes nigromaculis,Culicidae,Diptera,Insecta,26.5,14.12727273,B67Z,Brust(1967),,,
Aedes nigromaculis,Culicidae,Diptera,Insecta,32,10.76136364,B67Z,Brust(1967),,,
Aedes vexans,Culicidae,Diptera,Insecta,21,12.51931818,B67Y,Brust(1967),,,
Aedes vexans,Culicidae,Diptera,Insecta,26.5,11.07840909,B67Y,Brust(1967),,,
Aedes vexans,Culicidae,Diptera,Insecta,32,10.25909091,B67Y,Brust(1967),,,
Aglais urticae,Nymphalidae,Lepidoptera,Insecta,30,134.992,B69C,Baker (1969),,,
Aglais urticae,Nymphalidae,Lepidoptera,Insecta,25,125.424,B69C,Baker (1969),,,
Aglais urticae,Nymphalidae,Lepidoptera,Insecta,18,150.28,B69C,Baker (1969),,,
Aglais urticae,Nymphalidae,Lepidoptera,Insecta,12,293.84,BTB97A, Bryant Thomas & Bale(1997)  ,,,
Aglais urticae,Nymphalidae,Lepidoptera,Insecta,15,344.871,BTB97A, Bryant Thomas & Bale(1997)  ,,,
Aglais urticae,Nymphalidae,Lepidoptera,Insecta,20,314.076,BTB97A, Bryant Thomas & Bale(1997)  ,,,
Aglais urticae,Nymphalidae,Lepidoptera,Insecta,25,290.389,BTB97A, Bryant Thomas & Bale(1997)  ,,,
Aglais urticae,Nymphalidae,Lepidoptera,Insecta,30,289.405,BTB97A, Bryant Thomas & Bale(1997)  ,,,
Aglais urticae,Nymphalidae,Lepidoptera,Insecta,34,290.65,BTB97A, Bryant Thomas & Bale(1997)  ,,,
Aphis fabae,Aphididae,Hemiptera,Insecta,15,0.948,D82A,Dixon et al (1982),,,
Aphis fabae,Aphididae,Hemiptera,Insecta,25,0.642,D82A,Dixon et al (1982),,,
Aphis pomi  ,Aphididae,Hemiptera,Insecta,10,0.651,CH86A, Carroll & Hoyt(1986)  ,,,
Aphis pomi  ,Aphididae,Hemiptera,Insecta,16,0.865,CH86A, Carroll & Hoyt(1986)  ,,,
Aphis pomi  ,Aphididae,Hemiptera,Insecta,28,0.57,CH86A, Carroll & Hoyt(1986)  ,,,
Artemia salina  ,Artemiidae,Anostraca,Branchiopoda,20,40.06,F11A, Forster et al (2011),,,
Artemia salina  ,Artemiidae,Anostraca,Branchiopoda,23,65.25,F11A, Forster et al (2011),,,
Artemia salina  ,Artemiidae,Anostraca,Branchiopoda,25,52.29,F11A, Forster et al (2011),,,
Artemia salina  ,Artemiidae,Anostraca,Branchiopoda,28,54.08,F11A, Forster et al (2011),,,
Artemia salina  ,Artemiidae,Anostraca,Branchiopoda,30,39.94,F11A, Forster et al (2011),,,
Artemia salina  ,Artemiidae,Anostraca,Branchiopoda,33,43.81,F11A, Forster et al (2011),,,
Australopelopia prionoptera,Chironomidae,Diptera,Insecta,12,5.2927015,MC05C,McKie & Cranston (2005),,,
Australopelopia prionoptera,Chironomidae,Diptera,Insecta,18,4.330612,MC05C,McKie & Cranston (2005),,,
Australopelopia prionoptera,Chironomidae,Diptera,Insecta,26,3.8028555,MC05C,McKie & Cranston (2005),,,
Australopelopia prionoptera,Chironomidae,Diptera,Insecta,12,6.859702,MC05D,McKie & Cranston (2005),,,
Australopelopia prionoptera,Chironomidae,Diptera,Insecta,18,6.240494,MC05D,McKie & Cranston (2005),,,
Australopelopia prionoptera,Chironomidae,Diptera,Insecta,26,5.510361,MC05D,McKie & Cranston (2005),,,
Bicyclus anynana  ,Nymphalidae,Lepidoptera,Insecta,20,175.7,F03A, Fischer et al. (2003)  ,,,
Bicyclus anynana  ,Nymphalidae,Lepidoptera,Insecta,27,170.2,F03A, Fischer et al. (2003)  ,,,
Bicyclus anynana  ,Nymphalidae,Lepidoptera,Insecta,20,189.9,F03B, Fischer et al. 2004  ,,,
Bicyclus anynana  ,Nymphalidae,Lepidoptera,Insecta,27,198.2,F03B, Fischer et al. 2004  ,,,
Bicyclus anynana  ,Nymphalidae,Lepidoptera,Insecta,20,15.4,FBZ03A, Fischer Brakefield & Zwaan( 2003)  ,,,
Bicyclus anynana  ,Nymphalidae,Lepidoptera,Insecta,27,25.1,FBZ03A, Fischer Brakefield & Zwaan( 2003)  ,,,
Cactoblastis cactorum,Pyralidae,Lepidoptera,Insecta,22,44.824,MC08A,Marti & Carpenter (2008),,,
Cactoblastis cactorum,Pyralidae,Lepidoptera,Insecta,26,48.1,MC08A,Marti & Carpenter (2008),,,
Cactoblastis cactorum,Pyralidae,Lepidoptera,Insecta,29,47.216,MC08A,Marti & Carpenter (2008),,,
Calanus finmarchicus  ,calanidae,Calanoida,Maxillopoda,4,0.23696,C01A, Campbell et al. 2001  ,,,
Calanus finmarchicus  ,calanidae,Calanoida,Maxillopoda,8,0.21192,C01A, Campbell et al. 2001  ,,,
Calanus finmarchicus  ,calanidae,Calanoida,Maxillopoda,12,0.18688,C01A, Campbell et al. 2001  ,,,
Calanus sinicus  ,calanidae,Calanoida,Maxillopoda,10,0.08708,U88A, Uye (1988  ),,,
Calanus sinicus  ,calanidae,Calanoida,Maxillopoda,13,0.068255,U88A, Uye (1988  ),,,
Calanus sinicus  ,calanidae,Calanoida,Maxillopoda,15,0.070434,U88A, Uye (1988  ),,,
Calanus sinicus  ,calanidae,Calanoida,Maxillopoda,18,0.069339,U88A, Uye (1988  ),,,
Calanus sinicus  ,calanidae,Calanoida,Maxillopoda,20,0.064041,U88A, Uye (1988  ),,,
Callosobruchus maculatus  ,Chyrsomelidae,Coleoptera,Insecta,20,6.968,S07A, Stillwell et al. (2007  ),,,
Callosobruchus maculatus  ,Chyrsomelidae,Coleoptera,Insecta,25,5.87,S07A, Stillwell et al. (2007  ),,,
Callosobruchus maculatus  ,Chyrsomelidae,Coleoptera,Insecta,30,5.116,S07A, Stillwell et al. (2007  ),,,
Callosobruchus maculatus  ,Chyrsomelidae,Coleoptera,Insecta,35,4.984,S07A, Stillwell et al. (2007  ),,,
Callosobruchus maculatus  ,Chyrsomelidae,Coleoptera,Insecta,20,8.114,S07B, Stillwell et al. (2007  ),,,
Callosobruchus maculatus  ,Chyrsomelidae,Coleoptera,Insecta,25,6.362,S07B, Stillwell et al. (2007  ),,,
Callosobruchus maculatus  ,Chyrsomelidae,Coleoptera,Insecta,30,5.412,S07B, Stillwell et al. (2007  ),,,
Callosobruchus maculatus  ,Chyrsomelidae,Coleoptera,Insecta,35,5.132,S07B, Stillwell et al. (2007  ),,,
Cancer gracilis  ,Cancridae,Decapoda,Malacostraca,10,0.26,SM94A, Sulkin & McKeen (1994) ,,,
Cancer gracilis  ,Cancridae,Decapoda,Malacostraca,15,0.24,SM94A, Sulkin & McKeen (1994) ,,,
Cancer gracilis  ,Cancridae,Decapoda,Malacostraca,20,0.14,SM94A, Sulkin & McKeen (1994) ,,,
Cancer magister  ,Cancridae,Decapoda,Malacostraca,10,1.3,SM94B, Sulkin & McKeen (1994) ,,,
Cancer magister  ,Cancridae,Decapoda,Malacostraca,15,1.2,SM94B, Sulkin & McKeen (1994) ,,,
Cancer oregonensis  ,Cancridae,Decapoda,Malacostraca,10,0.46,SM94C, Sulkin & McKeen (1994) ,,,
Cancer oregonensis  ,Cancridae,Decapoda,Malacostraca,15,0.48,SM94C, Sulkin & McKeen (1994) ,,,
Cancer productus  ,Cancridae,Decapoda,Malacostraca,10,0.65,SM94D, Sulkin & McKeen (1994) ,,,
Cancer productus  ,Cancridae,Decapoda,Malacostraca,15,0.56,SM94D, Sulkin & McKeen (1994) ,,,
Cancer productus  ,Cancridae,Decapoda,Malacostraca,20,0.39,SM94D, Sulkin & McKeen (1994) ,,,
Chironomus crassicaudatus  ,Chironomidae,Diptera,Insecta,15,4.275,FAL02A, Frouz Ali &  Lobinske (2002  ),,,
Chironomus crassicaudatus  ,Chironomidae,Diptera,Insecta,18,3.25,FAL02A, Frouz Ali &  Lobinske (2002  ),,,
Chironomus crassicaudatus  ,Chironomidae,Diptera,Insecta,20,3.134,FAL02A, Frouz Ali &  Lobinske (2002  ),,,
Chironomus crassicaudatus  ,Chironomidae,Diptera,Insecta,23,2.979,FAL02A, Frouz Ali &  Lobinske (2002  ),,,
Chironomus crassicaudatus  ,Chironomidae,Diptera,Insecta,25,2.585,FAL02A, Frouz Ali &  Lobinske (2002  ),,,
Chironomus crassicaudatus  ,Chironomidae,Diptera,Insecta,28,2.254,FAL02A, Frouz Ali &  Lobinske (2002  ),,,
Chironomus crassicaudatus  ,Chironomidae,Diptera,Insecta,30,2.113,FAL02A, Frouz Ali &  Lobinske (2002  ),,,
Chironomus crassicaudatus  ,Chironomidae,Diptera,Insecta,33,1.946,FAL02A, Frouz Ali &  Lobinske (2002  ),,,
Chironomus dorsalis  ,Chironomidae,Diptera,Insecta,15,11.1,K58A, Konstantinov (1958  ),,,
Chironomus dorsalis  ,Chironomidae,Diptera,Insecta,20,9.4,K58A, Konstantinov (1958  ),,,
Chironomus dorsalis  ,Chironomidae,Diptera,Insecta,25,7.4,K58A, Konstantinov (1958  ),,,
Chironomus dorsalis  ,Chironomidae,Diptera,Insecta,30,5.6,K58A, Konstantinov (1958  ),,,
Chironomus riparius,Chironomidae,Diptera,Insecta,17,0.377,O09A,Oetken et al (2009),,,
Chironomus riparius,Chironomidae,Diptera,Insecta,20,0.355,O09A,Oetken et al (2009),,,
Chironomus riparius,Chironomidae,Diptera,Insecta,23,0.317,O09A,Oetken et al (2009),,,
Chironomus sancticaroli  ,Chironomidae,Diptera,Insecta,15,5.0986,SS85A, Strixino & Strixino (1985  ),,,
Chironomus sancticaroli  ,Chironomidae,Diptera,Insecta,20,4.2958,SS85A, Strixino & Strixino (1985  ),,,
Chironomus sancticaroli  ,Chironomidae,Diptera,Insecta,25,2.8028,SS85A, Strixino & Strixino (1985  ),,,
Chironomus sancticaroli  ,Chironomidae,Diptera,Insecta,30,1.9014,SS85A, Strixino & Strixino (1985  ),,,
Chironomus sancticaroli  ,Chironomidae,Diptera,Insecta,35,1.0141,SS85A, Strixino & Strixino (1985  ),,,
Chrysomya megacephala  ,Calliphoridae,Diptera,Insecta,20,133.08,RG06A, Reigada & Godoy 2006  ,,,
Chrysomya megacephala  ,Calliphoridae,Diptera,Insecta,30,122.69,RG06A, Reigada & Godoy 2006  ,,,
Cloeon triangulifer  ,Baetidae,Ephemeroptera,Insecta,10,1.8,SV84A, Sweeney & Vannote 1984 ,,,
Cloeon triangulifer  ,Baetidae,Ephemeroptera,Insecta,20,1,SV84A, Sweeney & Vannote 1984 ,,,
Cloeon triangulifer  ,Baetidae,Ephemeroptera,Insecta,25,0.6,SV84A, Sweeney & Vannote 1984 ,,,
Crepidula fornicata  ,Calyptraeidae,Neotaenioglossa,Gastropoda,18,0.06057,P84A, Pechenik 1984  ,,,
Crepidula fornicata  ,Calyptraeidae,Neotaenioglossa,Gastropoda,24,0.05662,P84A, Pechenik 1984  ,,,
Crepidula fornicata  ,Calyptraeidae,Neotaenioglossa,Gastropoda,15,0.047188,PL84A, Pechenik & Lima (1984  ),,,
Crepidula fornicata  ,Calyptraeidae,Neotaenioglossa,Gastropoda,20,0.049323,PL84A, Pechenik & Lima (1984  ),,,
Crepidula fornicata  ,Calyptraeidae,Neotaenioglossa,Gastropoda,25,0.044942,PL84A, Pechenik & Lima (1984  ),,,
Crepidula fornicata  ,Calyptraeidae,Neotaenioglossa,Gastropoda,29,0.045436,PL84A, Pechenik & Lima (1984  ),,,
Culicoides variipennis  ,Culicidae,Diptera,Insecta,20,0.1026,APJ78A, Akey Potter &Jones (1978  ),,,
Culicoides variipennis  ,Culicidae,Diptera,Insecta,25,0.0734,APJ78A, Akey Potter &Jones (1978  ),,,
Culicoides variipennis  ,Culicidae,Diptera,Insecta,35,0.06,APJ78A, Akey Potter &Jones (1978  ),,,
Culicoides variipennis  ,Culicidae,Diptera,Insecta,17,0.129375,MR83A, Mullens & Rutz (1983  ),,,
Culicoides variipennis  ,Culicidae,Diptera,Insecta,20,0.116902,MR83A, Mullens & Rutz (1983  ),,,
Culicoides variipennis  ,Culicidae,Diptera,Insecta,23,0.118149,MR83A, Mullens & Rutz (1983  ),,,
Culicoides variipennis  ,Culicidae,Diptera,Insecta,27,0.101933,MR83A, Mullens & Rutz (1983  ),,,
Culicoides variipennis  ,Culicidae,Diptera,Insecta,30,0.096944,MR83A, Mullens & Rutz (1983  ),,,
Culiseta inornata,Culicidae,Diptera,Insecta,21,19.67159091,B67X,Brust(1967),,,
Culiseta inornata,Culicidae,Diptera,Insecta,26.5,18.62159091,B67X,Brust(1967),,,
Cyclops serrulatus,Cyclopidae,Cyclopoida,Maxillopoda,11.5,0.724982118,C33A,Coker (1933),,,
Cyclops serrulatus,Cyclopidae,Cyclopoida,Maxillopoda,17,0.569221637,C33A,Coker (1933),,,
Cyclops serrulatus,Cyclopidae,Cyclopoida,Maxillopoda,22,0.606164708,C33A,Coker (1933),,,
Cyclops serrulatus,Cyclopidae,Cyclopoida,Maxillopoda,29,0.386304252,C33A,Coker (1933),,,
Cyclops vernalis,Cyclopidae,Cyclopoida,Maxillopoda,8.5,1.337847982,C33B,Coker (1933),,,
Cyclops vernalis,Cyclopidae,Cyclopoida,Maxillopoda,11.5,1.243117148,C33B,Coker (1933),,,
Cyclops vernalis,Cyclopidae,Cyclopoida,Maxillopoda,14.5,1.017867687,C33B,Coker (1933),,,
Cyclops vernalis,Cyclopidae,Cyclopoida,Maxillopoda,17,0.835779173,C33B,Coker (1933),,,
Cyclops vernalis,Cyclopidae,Cyclopoida,Maxillopoda,21.5,0.885585257,C33B,Coker (1933),,,
Cyclops vernalis,Cyclopidae,Cyclopoida,Maxillopoda,29,0.533761354,C33B,Coker (1933),,,
Cyclops viridis,Cyclopidae,Cyclopoida,Maxillopoda,10,3.05219204,C33C,Coker (1933),,,
Cyclops viridis,Cyclopidae,Cyclopoida,Maxillopoda,14.5,2.961473375,C33C,Coker (1933),,,
Cyclops viridis,Cyclopidae,Cyclopoida,Maxillopoda,17,1.80085645,C33C,Coker (1933),,,
Cyclops viridis,Cyclopidae,Cyclopoida,Maxillopoda,29,1.587821217,C33C,Coker (1933),,,
Dacus oleae  ,Tephritidae,Diptera,Insecta,12.5,4.43,T80A, Tsitsipis (1980)  ,,,
Dacus oleae  ,Tephritidae,Diptera,Insecta,15,4.27,T80A, Tsitsipis (1980)  ,,,
Dacus oleae  ,Tephritidae,Diptera,Insecta,17.5,4.15,T80A, Tsitsipis (1980)  ,,,
Dacus oleae  ,Tephritidae,Diptera,Insecta,20,4.26,T80A, Tsitsipis (1980)  ,,,
Dacus oleae  ,Tephritidae,Diptera,Insecta,22.5,4.86,T80A, Tsitsipis (1980)  ,,,
Dacus oleae  ,Tephritidae,Diptera,Insecta,25,5.42,T80A, Tsitsipis (1980)  ,,,
Dacus oleae  ,Tephritidae,Diptera,Insecta,27.5,5.13,T80A, Tsitsipis (1980)  ,,,
Dacus oleae  ,Tephritidae,Diptera,Insecta,30,4.84,T80A, Tsitsipis (1980)  ,,,
Daphnia middendorffiana  ,Daphniidae,Diplostraca,Branchiopoda,17,0.036356,DH98A, Dufresne & Hebert 1998  ,,,
Daphnia middendorffiana  ,Daphniidae,Diplostraca,Branchiopoda,24,0.033899,DH98A, Dufresne & Hebert 1998  ,,,
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,10,0.02973,Br82A, Brambilla 1982  ,,,
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,18,0.02808,Br82A, Brambilla 1982  ,,,
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,17,0.036823,DH98B, Dufresne & Hebert 1998  ,,,
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,24,0.03491,DH98B, Dufresne & Hebert 1998  ,,,
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,16,0.016021,WV98A, Walls & Ventelä (1998) ,,,"60°05¢N, 19°55¢E"
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,20,0.014737,WV98A, Walls & Ventelä (1998) ,,,"59°53¢N, 23°15¢E"
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,16,0.018761,WV98B, Walls & Ventelä (1998) ,,,"60°23¢N, 22°11¢E"
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,20,0.025693,WV98B, Walls & Ventelä (1998) ,,,
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,16,0.013935,WV98C, Walls & Ventelä (1998) ,,,
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,20,0.020361,WV98C, Walls & Ventelä (1998) ,,,
Discoglossus galganoi  ,Alytidae,Anura,Amphibia,12,351.18,AN02A, Alvarez & Nicieza(2002)  ,,,
Discoglossus galganoi  ,Alytidae,Anura,Amphibia,17,338.14,AN02A, Alvarez & Nicieza(2002)  ,,,
Discoglossus galganoi  ,Alytidae,Anura,Amphibia,22,213.76,AN02A, Alvarez & Nicieza(2002)  ,,,
Drosophila aldrichi  ,Drosophilidae,Diptera,Insecta,15,0.42,dJ10A, de Jong(2010) ,,,
Drosophila aldrichi  ,Drosophilidae,Diptera,Insecta,16,0.388,dJ10A, de Jong(2010) ,,,
Drosophila aldrichi  ,Drosophilidae,Diptera,Insecta,17,0.413,dJ10A, de Jong(2010) ,,,
Drosophila aldrichi  ,Drosophilidae,Diptera,Insecta,18,0.432,dJ10A, de Jong(2010) ,,,
Drosophila aldrichi  ,Drosophilidae,Diptera,Insecta,22,0.4,dJ10A, de Jong(2010) ,,,
Drosophila aldrichi  ,Drosophilidae,Diptera,Insecta,25,0.337,dJ10A, de Jong(2010) ,,,
Drosophila aldrichi  ,Drosophilidae,Diptera,Insecta,28,0.323,dJ10A, de Jong(2010) ,,,
Drosophila aldrichi  ,Drosophilidae,Diptera,Insecta,30,0.298,dJ10A, de Jong(2010) ,,,
Drosophila aldrichi  ,Drosophilidae,Diptera,Insecta,32,0.33,dJ10A, de Jong(2010) ,,,
Drosophila ananassae  ,Drosophilidae,Diptera,Insecta,16,1.511,D97A, David et al.( 1997)  ,,,
