Species,Family,Order,Class,Study,ref,location,temperature,,,,,,,,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,LM87A,Lamb & MacKay(1987),Manhattan KS,25.7,,,,,,,,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,LM87B,Lamb & MacKay(1987),Rosemount MA,22.2,,,,,,,,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,LM87C,Lamb & MacKay(1987),Mapleton ND,21.5,,,,,,,,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,LM87D,Lamb & MacKay(1987),Glenlea MAN,19.6,,,,,,,,,,
Acyrthosiphon pisum ,Aphididae,Hemiptera,Insecta,LM87E,Lamb & MacKay(1987),Prince Albert SASK,17.4,,,,,,,,,,
Australopelopia prionoptera,Chironomidae,Diptera,Insecta,MC05C,McKie & Cranston (2005),N Queensland,18.5,,,,,,,,,,
Australopelopia prionoptera,Chironomidae,Diptera,Insecta,MC05D,McKie & Cranston (2005),Canberra Australian Capital Territory,10,,,,,,,,,,
Callosobruchus maculatus  ,Chyrsomelidae,Coleoptera,Insecta,S07A, Stillwell et al. (2007  ),Ouagadougou Burkina Faso,27.45,,,,,,,,,,
Callosobruchus maculatus  ,Chyrsomelidae,Coleoptera,Insecta,S07B, Stillwell et al. (2007  ),Tirunelveli India,29.85,,,,,,,,,,
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,WV98A, Walls & Ventelä (1998) ,"Aland Islands, Finland",23,,,,,,,,,,
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,WV98B, Walls & Ventelä (1998) ,Tvarminne SW Finland,16,,,,,,,,,,
Daphnia pulex  ,Daphniidae,Diplostraca,Branchiopoda,WV98C, Walls & Ventelä (1998) ,Tammisto SW Finland,17,,,,,,,,,,
Drosophila melanogaster  ,Drosophilidae,Diptera,Insecta,P01A, Petavy et al. (2001)  ,Bordeaux France,14,,,,,,,,,,
Drosophila melanogaster  ,Drosophilidae,Diptera,Insecta,P01B, Petavy et al. (2001)  ,Cordoba Spain,19.8,,,,,,,,,,
Drosophila melanogaster  ,Drosophilidae,Diptera,Insecta,TM61A, Tantawy & Mallah (1961 ),Safa Valley Lebanon,16.15,,,,,,,,,,
Drosophila melanogaster  ,Drosophilidae,Diptera,Insecta,TM61B, Tantawy & Mallah (1961 ),Wadi-El-Natroon Egypt,21.55,,,,,,,,,,
Drosophila melanogaster  ,Drosophilidae,Diptera,Insecta,TM61D, Tantawy & Mallah (1961 ),Namulonge Uganda,27.34,,,,,,,,,,
Drosophila simulans  ,Drosophilidae,Diptera,Insecta,P01C, Petavy et al.(2001  ),Bordeaux France,14,,,,,,,,,,
Drosophila simulans  ,Drosophilidae,Diptera,Insecta,P01D, Petavy et al.(2001  ),Cordoba Spain,19.8,,,,,,,,,,
Drosophila simulans  ,Drosophilidae,Diptera,Insecta,TM61F, Tantawy & Mallah (1961 ),Safa Valley Lebanon,16.15,,,,,,,,,,
