Species,Family,Order,Class,Study,ref,location,temperature,,,,,,,,,,
Drosophila simulans  ,Drosophilidae,Diptera,Insecta,TM61I, Tantawy & Mallah (1961 ),Wadi-El-Natroon Egypt,21.55,,,,,,,,,,
Drosophila simulans  ,Drosophilidae,Diptera,Insecta,TM61J, Tantawy & Mallah (1961 ),Namulonge Uganda,27.34,,,,,,,,,,
Echinocladius martini,Chironomidae,Diptera,Insecta,MC05A,McKie & Cranston (2005),N Queensland,18.5,,,,,,,,,,
Echinocladius martini,Chironomidae,Diptera,Insecta,MC05B,McKie & Cranston (2005),Canberra Australian Capital Territory,10,,,,,,,,,,
Folsomia candida  ,Isotomidae,Collembola,Entognatha,SVE96A, Stam van de Leemkule & Ernsting(1996 ),York England,15.6,,,,,,,,,,
Folsomia candida  ,Isotomidae,Collembola,Entognatha,SVE96B, Stam van de Leemkule & Ernsting(1996 ),Brunoy France,19.1,,,,,,,,,,
Frankliniella occidentalis,Thripidae,Thysanoptera,Insecta,SF02G,Stacey & Fellowes (2002),Silwood Park England,17.65,,,,,,,,,,
Frankliniella occidentalis,Thripidae,Thysanoptera,Insecta,SF02H,Stacey & Fellowes (2002),York England,15.6,,,,,,,,,,
Lycaena tityrus  ,Lycaenidae,Lepidoptera,Insecta,KJF08A, Karl Janowitz& Fischer (2008  ),Bavaria Germany,19.5,,,,,,,,,,
Lycaena tityrus  ,Lycaenidae,Lepidoptera,Insecta,KJF08B, Karl Janowitz& Fischer (2008  ),Tyrol Italy,10,,,,,,,,,,
Rana temporaria  ,Ranidae,Anura,Amphibia,L05A, Laugen et al. (2005  ),56 N Latitude,16.31,,,,,,,,,,
Rana temporaria  ,Ranidae,Anura,Amphibia,L05B, Laugen et al. (2005  ),60 N Latitude,15.38,,,,,,,,,,
Rana temporaria  ,Ranidae,Anura,Amphibia,L05C, Laugen et al. (2005  ),64 N Latitude,15.85,,,,,,,,,,
Rana temporaria  ,Ranidae,Anura,Amphibia,L05D, Laugen et al. (2005  ),66 N Latitude,11.85,,,,,,,,,,
Rana temporaria  ,Ranidae,Anura,Amphibia,L05E, Laugen et al. (2005  ),68 N Latitude,12.85,,,,,,,,,,
Rana temporaria  ,Ranidae,Anura,Amphibia,L05F, Laugen et al. (2005  ),69 N Latitude,10.65,,,,,,,,,,
Scottolana canadensis  ,Canuellidae,Harpaticoida,Maxillopoda,LL85A, Lonsdale & Levinton (1985  ),Florida,25.5,,,,,,,,,,
Scottolana canadensis  ,Canuellidae,Harpaticoida,Maxillopoda,LL85B, Lonsdale & Levinton (1985  ),Maryland,22,,,,,,,,,,
Scottolana canadensis  ,Canuellidae,Harpaticoida,Maxillopoda,LL85C, Lonsdale & Levinton (1985  ),Maine,14,,,,,,,,,,
Stator limbatus  ,Chrysomelidae,Coleoptera,Insecta,SF05A, Stillwell & Fox (2005  ),Phoenix AZ,20.9,,,,,,,,,,
Stator limbatus  ,Chrysomelidae,Coleoptera,Insecta,SF05B, Stillwell & Fox (2005  ),Oracle AZ,16.7,,,,,,,,,,
Thrips major,Thripidae,Thysanoptera,Insecta,SF02D,Stacey & Fellowes (2002),Silwood Park England,17.65,,,,,,,,,,
Thrips major,Thripidae,Thysanoptera,Insecta,SF02E,Stacey & Fellowes (2002),Cambridge England,16.6,,,,,,,,,,
Thrips major,Thripidae,Thysanoptera,Insecta,SF02F,Stacey & Fellowes (2002),York England,15.6,,,,,,,,,,
Thrips tabaci,Thripidae,Thysanoptera,Insecta,SF02A,Stacey & Fellowes (2002),Silwood Park England,17.65,,,,,,,,,,
Thrips tabaci,Thripidae,Thysanoptera,Insecta,SF02B,Stacey & Fellowes (2002),York England,15.6,,,,,,,,,,
Thrips tabaci,Thripidae,Thysanoptera,Insecta,SF02C,Stacey & Fellowes (2002),Cambridge England,16.6,,,,,,,,,,
