Species,Mg,TC,MRo2,Watts,ref,
Ambystoma tigrinum ,35,25,1.7885,0.009985792,[255] ,
Ambystoma tigrinum ,16.49,25,3.1908,0.0178153,[255] ,
Ambystoma tigrinum ,14.9,25,1.5675,0.008751875,[255] ,
Amphiuma means ,352,5,0.884,0.004935667,[255] ,
Amphiuma means ,500,5,1.65,0.0092125,[255] ,
Amphiuma means ,500,10,2.8,0.015633333,[255] ,
Amphiuma means ,375,15,2.531,0.014131417,[255] ,
Amphiuma means ,500,15,3.1,0.017308333,[255] ,
Amphiuma means ,408,15,2.513,0.014030917,[255] ,
Amphiuma means ,125,18,4.875,0.02721875,[255] ,
Amphiuma means ,83,20,2.324,0.012975667,[255] ,
Amphiuma means ,500,20,5.05,0.028195833,[255] ,
Amphiuma means ,1270,21.5,17.304,0.096614,[255] ,
Amphiuma means ,376,25,5.038,0.028128833,[255] ,
Amphiuma means ,500,25,9.25,0.051645833,[255] ,
Amphiuma means ,500,27,15.8,0.088216667,[255] ,
Amphiuma means ,500,30,35.3,0.197091667,[255] ,
Amphiuma tridactylum ,652,15,2.452,0.013690333,[255] ,
Amphiuma tridactylum ,493,25,9.86,0.055051667,[255] ,
Cryptobranchus alleganiensis ,514,5,4.4615,0.024910042,[255] ,
Cryptobranchus alleganiensis ,511,15,10.6595,0.059515542,[255] ,
Cryptobranchus alleganiensis ,423,25,13.0792,0.073025533,[255] ,
Dicamptodon ensatus ,101.25,15,1.3061,0.007292392,[255] ,
Dicamptodon ensatus ,24,15,0.7488,0.0041808,[255] ,
Rhyacotriton olympicus ,2.6,15,0.2496,0.0013936,[255] ,
Aneides ferreus ,2.73,15,0.0743,0.000414842,[255] ,
Aneides ferreus ,3.2,25,0.2118,0.00118255,[255] ,
Aneides flavipunctatus ,4.57,15,0.1197,0.000668325,[255] ,
Aneides flavipunctatus ,1.79,25,0.1421,0.000793392,[255] ,
Aneides hardii ,0.97,5,0.0301,0.000168058,[255] ,
Aneides hardii ,0.97,10,0.0359,0.000200442,[255] ,
Aneides hardii ,0.97,15,0.0485,0.000270792,[255] ,
Aneides hardii ,0.97,20,0.0514,0.000286983,[255] ,
Aneides hardii ,0.97,25,0.0912,0.0005092,[255] ,
Aneides lugubris ,5.58,15,0.1495,0.000834708,[255] ,
Aneides lugubris ,0.116,20,0.0447,0.000249575,[255] ,
Batrachoseps attenuatus ,0.65,5,0.0166,9.26833E-05,[255] ,
Batrachoseps attenuatus ,0.77,15,0.0318,0.00017755,[255] ,
Batrachoseps attenuatus ,0.93,15,0.0453,0.000252925,[255] ,
Batrachoseps attenuatus ,1.55,20,0.093,0.00051925,[255] ,
Batrachoseps attenuatus ,0.931,20,0.0692,0.000386367,[255] ,
Batrachoseps attenuatus ,0.74,25,0.0838,0.000467883,[255] ,
Batrachoseps attenuatus ,0.93,25,0.0802,0.000447783,[255] ,
Bolitoglossa franklini ,3.18,15,0.055,0.000307083,[255] ,
