"Species","Family","Order","Class","temp","mass","length_mm","replicate","ref","search_term","hit","taxonomy_source"
"Xenopus laevis","Pipidae","Anura","Amphibia",19,16.9,"NA","H95A","Hilken et al. (1995)","amphibian body mass different temperatures reared lab",1,"http://www.iucnredlist.org/details/58174/0"
"Xenopus laevis","Pipidae","Anura","Amphibia",22,15.4,"NA","H95A","Hilken et al. (1995)","amphibian body mass different temperatures reared lab",1,"http://www.iucnredlist.org/details/58174/0"
"Xenopus laevis","Pipidae","Anura","Amphibia",24,16.6,"NA","H95A","Hilken et al. (1995)","amphibian body mass different temperatures reared lab",1,"http://www.iucnredlist.org/details/58174/0"
"Cyprinodon macularius","Cyprinodontidae","Cyprinodontiformes","Actinopterygii",15,,15.6,"K60A","Kinne (1960)","NA",,"http://ecos.fws.gov/speciesProfile/profile/speciesProfile.action?spcode=E044"
"Cyprinodon macularius","Cyprinodontidae","Cyprinodontiformes","Actinopterygii",20,,20.6,"K60A","Kinne (1960)","NA",,"http://ecos.fws.gov/speciesProfile/profile/speciesProfile.action?spcode=E044"
"Cyprinodon macularius","Cyprinodontidae","Cyprinodontiformes","Actinopterygii",30,,28.7,"K60A","Kinne (1960)","NA",,"http://ecos.fws.gov/speciesProfile/profile/speciesProfile.action?spcode=E044"
"Cyprinodon macularius","Cyprinodontidae","Cyprinodontiformes","Actinopterygii",35,,22.5,"K60A","Kinne (1960)","NA",,"http://ecos.fws.gov/speciesProfile/profile/speciesProfile.action?spcode=E044"
"Poecilia reticulata","Poeciliidae","Cyprinodontiformes","Actinopterygii",20,,15.4,"GH55A","Gibson & Hirst (1955)","NA",,"http://sta.uwi.edu/fst/lifesciences/documents/Poecilia_reticulata.pdf"
"Poecilia reticulata","Poeciliidae","Cyprinodontiformes","Actinopterygii",23,,17.4,"GH55A","Gibson & Hirst (1955)","NA",,"http://sta.uwi.edu/fst/lifesciences/documents/Poecilia_reticulata.pdf"
"Poecilia reticulata","Poeciliidae","Cyprinodontiformes","Actinopterygii",25,,17.9,"GH55A","Gibson & Hirst (1955)","NA",,"http://sta.uwi.edu/fst/lifesciences/documents/Poecilia_reticulata.pdf"
"Poecilia reticulata","Poeciliidae","Cyprinodontiformes","Actinopterygii",30,,14.2,"GH55A","Gibson & Hirst (1955)","NA",,"http://sta.uwi.edu/fst/lifesciences/documents/Poecilia_reticulata.pdf"
"Poecilia reticulata","Poeciliidae","Cyprinodontiformes","Actinopterygii",32,,10.3,"GH55A","Gibson & Hirst (1955)","NA",,"http://sta.uwi.edu/fst/lifesciences/documents/Poecilia_reticulata.pdf"
