Row,Class,Higher Taxon,Family ,Species ,q25Wkg  ,qWkg,Mg ,TC ,DMg ,WC,Source,
273,Branchiopoda,Branchiopoda,Daphnidae,Daphnia ambigua,26.435,7.333,0.0000047,6.5,,,Armitage & Lei 1979 ,
274,Branchiopoda,Branchiopoda, Daphnidae ,Daphnia ambigua ,26.597,7.378,0.0000258,6.5,0.00000507,80.4,Armitage & Lei 1979 ,
278,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,33.608,29.056,0.00000587,22.9,0.0000015,80.4,Armitage & Lei 1979 ,
276,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,31.32,27.078,0.00000597,22.9,0.00000117,80.4,Armitage & Lei 1979 ,
272,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,25.254,21.833,0.00000893,22.9,0.00000175,80.4,Armitage & Lei 1979 ,
270,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,17.196,14.867,0.0000136,22.9,0.00000266,80.4,Armitage & Lei 1979 ,
266,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,14.041,12.139,0.0000178,22.9,0.00000349,80.4,Armitage & Lei 1979 ,
264,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,13.643,15.244,0.0000184,26.6,0.00000362,80.4,Armitage & Lei 1979 ,
262,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,13.045,11.278,0.000019,22.9,,80.4,Armitage & Lei 1979 ,
263,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,13.05,11.283,0.000019,22.9,0.00000372,80.4,Armitage & Lei 1979 ,
261,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,9.6225,6.006,0.0000197,18.2,0.00000387,80.4,Armitage & Lei 1979 ,
268,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,16.573,14.328,0.0000221,22.9,0.00000434,80.4,Armitage & Lei 1979 ,
271,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,17.775,7.9,0.0000251,13.3,0.0000049,80.4,Armitage & Lei 1979 ,
277,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,32.898,12.728,0.0000254,11.3,0.00000498,80.4,Armitage & Lei 1979 ,
269,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,16.759,14.489,0.0000265,22.9,0.0000052,80.4,Armitage & Lei 1979 ,
275,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,29.62,10.4,0.0000267,9.9,0.00000524,80.4,Armitage & Lei 1979 ,
267,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,14.368,12.422,0.0000287,22.9,0.00000563,80.4,Armitage & Lei 1979 ,
265,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,13.918,12.033,0.0000308,22.9,0.00000573,80.4,Armitage & Lei 1979 ,
282,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia magma ,32.997,23.333,0.00005,20,,,Schindler 1968 ,
284,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia magma ,36.195,25.594,0.000061,20,,,Goss & Bunting 1980 ,
